row ID;row m/z;row retention time;Formula M+H;Formula M+Na;39-1.mzXML Peak area;39-2.mzXML Peak area;39-3.mzXML Peak area;39-4.mzXML Peak area;39-5.mzXML Peak area;39-6.mzXML Peak area
48;637.3017883;23.99;C42H40N2O4 - C37H40N4O6 - C30H44N4O11 - C31H44N2O12 - C29H48O15 - C24H48N2O17;C40H42N2O4 - C35H42N4O6 - C28H46N4O11 - C27H50O15;175592;947235;1409504;712655;758367;679803
49;579.2929993;16.11;C35H38N4O4 - C29H42N2O10 - C22H46N2O15;C33H40N4O4 - C27H44N2O10;240566;22573;9191;4353;2436;8099
50;445.2579397;19.94;C27H32N4O2 - C26H36O6 - C21H36N2O8;C25H34N4O2 - C24H38O6;155771;31861;13279;4026;3947;5087
51;279.2315826;14.67;C18H30O2 - C13H30N2O4;C16H32O2;149513;82555;58010;38853;51958;38391
52;593.3465653;20.23;C37H44N4O3 - C36H48O7 - C31H48N2O9 - C24H52N2O14;C35H46N4O3 - C34H50O7 - C28H50N4O8 - C27H54O12;211629;83460;40342;26917;18479;9085
53;447.2735418;15.89;C27H34N4O2 - C26H38O6 - C21H38N2O8;C25H36N4O2 - C24H40O6;216539;57379;47803;47646;31659;14432
54;429.372345;29.5;C29H48O2 - C24H48N2O4;C27H50O2;102416;122647;173949;225694;114164;219251
55;393.2974981;25.42;C19H40N2O6;;107063;16975;151345;25414;24528;16021
56;311.1651306;10.44;C20H22O3;C18H24O3;88811;30613;10804;2162;1678;2008
57;490.2434082;10;C26H35NO8 - C21H35N3O10;C30H33N3O2 - C24H37NO8;107120;34434;24494;8028;6569;8047
58;441.3722178;24.65;C30H48O2 - C25H48N2O4;C28H50O2;249754;65123;47066;51267;32377;28438
59;633.4364624;19.18;C43H56N2O2 - C44H56O3 - C38H56N4O4 - C37H60O8 - C32H60N2O10;C41H58N2O2 - C36H58N4O4;127038;68158;50667;58054;66257;44193
60;391.2843628;25.38;;;92959;72956;69970;71984;77231;84049
61;505.2784882;14.17;C29H36N4O4 - C28H40O8 - C23H40N2O10;C27H38N4O4 - C26H42O8;127945;27582;22912;22848;15753;6536
62;505.2809652;17.7;C29H36N4O4 - C28H40O8;C32H38N2O2 - C27H38N4O4 - C26H42O8;114716;29665;21183;16633;9214;5445
63;765.3099467;16.83;C42H44N4O10 - C41H48O14 - C36H48N2O16 - C31H48N4O18 - C29H52N2O21 - C24H52N4O23;C45H46N2O8 - C40H46N4O10 - C39H50O14 - C33H50N4O15 - C34H50N2O16 - C32H54O19 - C27H54N2O21;98712;115514;90969;102899;106796;91583
64;423.3250071;26.18;C29H42O2;;66106;22828;14705;17678;11674;12869
65;441.372378;22.72;C30H48O2 - C25H48N2O4;C28H50O2;137342;47017;23001;16169;12758;8013
66;315.1945979;20.58;C20H26O3 - C15H26N2O5;C18H28O3;138884;29632;19269;17284;12172;8510
67;561.2662659;14.57;C38H32N4O - C31H36N4O6 - C30H40O10 - C25H40N2O12;C36H34N4O - C29H38N4O6 - C28H42O10 - C23H42N2O12;115946;37963;29318;29452;22573;17721
68;556.3113353;14.59;C28H45NO10 - C23H45N3O12;C26H47NO10;129658;41889;33940;33421;23446;11355
69;540.3164164;18.33;C28H45NO9 - C23H45N3O11;C32H43N3O3 - C26H47NO9;99848;35727;24234;23349;15622;7942
70;425.3777885;25.58;C30H48O;C28H50O;127193;34759;21261;21896;11516;6285
71;413.2662506;25.37;C27H32N4 - C21H36N2O6;C25H34N4;82681;57118;45998;59291;63018;64587
72;505.2801794;13.06;C34H36N2O2 - C29H36N4O4 - C28H40O8 - C23H40N2O10;C32H38N2O2 - C27H38N4O4 - C26H42O8 - C20H42N4O9;124216;54749;37291;19451;6582;3335
73;540.3161672;17.36;C28H45NO9 - C23H45N3O11;C32H43N3O3 - C26H47NO9;102524;17710;10824;10896;6990;6537
74;411.2526042;22.01;C26H34O4 - C21H34N2O6;C24H36O4;143532;45444;25776;17928;8683;5048
75;431.2421214;10.38;C26H30N4O2 - C25H34O6 - C20H34N2O8;C24H32N4O2 - C23H36O6;72453;18274;9132;1900;952;2350
76;447.2715251;20.09;C27H34N4O2 - C26H38O6 - C21H38N2O8;C25H36N4O2 - C24H40O6;118571;41526;23319;23572;15318;9316
77;483.3804118;22.71;;;108724;30500;27643;23057;14742;7952
78;417.2271373;17.88;C25H28N4O2 - C24H32O6 - C19H32N2O8;C23H30N4O2 - C22H34O6;137925;17232;22134;12352;8234;2611
79;521.2738241;14.58;C29H36N4O5 - C28H40O9 - C23H40N2O11;C32H38N2O3 - C27H38N4O5 - C26H42O9;98533;27737;21742;19153;12170;5985
80;324.2892914;17.06;C20H37NO2;C18H39NO2;88454;29214;16290;21797;21538;12142
81;447.2736104;15.32;C27H34N4O2 - C26H38O6 - C21H38N2O8;C25H36N4O2 - C24H40O6;76657;17395;14145;7241;3179;4977
82;1067.55363;13.05;;;85123;43331;32354;843;311;941
83;415.2478231;11.44;C26H30N4O - C25H34O5 - C20H34N2O7;C24H32N4O - C23H36O5;71562;16518;9090;1659;1965;3407
84;239.2367528;22.69;C16H30O;;109400;69320;64563;66236;62588;63633
85;526.3011322;19.1;C27H43NO9 - C22H43N3O11;C31H41N3O3 - C25H45NO9;83713;19442;12070;11428;9024;6034
86;545.2717031;18.33;C31H36N4O5 - C30H40O9 - C25H40N2O11 - C20H40N4O13;C29H38N4O5 - C28H42O9 - C23H42N2O11;82055;25773;16712;18308;8670;7321
87;531.2560323;19.09;C30H34N4O5 - C29H38O9 - C24H38N2O11;C28H36N4O5 - C27H40O9 - C22H40N2O11;92858;18984;10528;11052;8703;6194
88;311.164945;20.28;C20H22O3;C18H24O3;109658;34869;18902;11300;7972;1432
89;463.2683538;14.74;C27H34N4O3 - C26H38O7 - C21H38N2O9;C25H36N4O3 - C24H40O7;82168;35338;20088;11029;10819;10010
90;568.4278971;25.52;C38H53N3O - C31H57N3O6;C36H55N3O - C29H59N3O6;131203;355245;345415;176762;223935;215273
91;540.3165029;13.08;C28H45NO9 - C23H45N3O11;C32H43N3O3 - C26H47NO9;92519;51209;44994;16453;5696;3829
92;468.2955424;20.57;C25H41NO7 - C20H41N3O9;C23H43NO7;88692;23068;17781;14709;9903;7350
93;315.1952184;13.06;C20H26O3 - C15H26N2O5;C18H28O3;89450;44368;38821;18434;9583;4811
94;617.3447876;22.02;C39H44N4O3 - C38H48O7 - C33H48N2O9 - C26H52N2O14;C37H46N4O3 - C36H50O7 - C31H50N2O9;115402;42214;22487;14567;10045;4859
95;313.1790161;12.84;C20H24O3 - C15H24N2O5;C18H26O3;76678;24281;12073;7760;6725;3198
96;425.3771769;24.96;C30H48O;C28H50O;97121;35992;16238;22361;12907;7790
97;593.3461914;20.07;C37H44N4O3 - C36H48O7 - C31H48N2O9 - C24H52N2O14;C35H46N4O3 - C34H50O7 - C29H50N2O9 - C27H54O12;69584;20771;10855;5455;4370;2633
98;315.1947301;14.5;C20H26O3 - C15H26N2O5;C18H28O3;86869;43520;32907;22560;11367;6065
99;490.242925;8.09;C26H35NO8 - C21H35N3O10;C30H33N3O2 - C24H37NO8;56258;17368;14128;1787;1486;2332
100;431.2412135;14.59;C26H30N4O2 - C25H34O6 - C20H34N2O8;C24H32N4O2 - C23H36O6;70068;20502;11212;6424;4249;1857
101;487.2659988;15.87;C29H34N4O3 - C28H38O7 - C23H38N2O9;C27H36N4O3 - C26H40O7 - C21H40N2O9;125099;25231;37412;36178;24572;13119
102;311.1651713;14.6;C20H22O3;C18H24O3 - C12H24N4O4;77447;24427;13126;4821;3713;1325
103;300.2891006;18.44;C18H37NO2;;72538;36143;20782;17294;20698;9921
104;415.2478078;11.03;C26H30N4O - C25H34O5;C24H32N4O - C23H36O5;69561;18541;11723;2326;1971;3145
105;568.4277547;25.42;C38H53N3O - C31H57N3O6;C36H55N3O - C29H59N3O6;67051;98106;137017;99107;115478;95597
106;545.2717082;17.32;C31H36N4O5 - C30H40O9 - C25H40N2O11 - C20H40N4O13;C29H38N4O5 - C28H42O9 - C23H42N2O11;84050;12667;8383;4525;2043;3238
107;497.2522888;12.14;C30H32N4O3 - C29H36O7 - C24H36N2O9;C28H34N4O3 - C27H38O7;65439;20502;15063;2884;1677;4606
108;283.2637329;23.08;C18H34O2;;80144;49327;37699;36626;32730;32850
109;311.1649195;22.38;C20H22O3;C18H24O3;72075;39217;21541;11545;9321;3186
110;397.2365824;16.58;C26H28N4 - C25H32O4 - C20H32N2O6;C24H30N4 - C23H34O4;64124;16389;9160;6276;3573;1307
111;556.3121592;13.38;C28H45NO10 - C23H45N3O12;C26H47NO10;81611;25877;23587;17719;9203;5001
112;566.4118245;24.89;C31H55N3O6;C29H57N3O6;46844;34169;20033;16194;17362;18471
113;503.2602132;14.63;C35H34O3 - C28H38O8 - C23H38N2O10 - C18H38N4O12;C33H36O3 - C27H36N4O4 - C26H40O8 - C21H40N2O10;63231;25435;13993;11605;7399;5903
114;603.2785441;17.56;C39H38O6 - C33H38N4O7 - C32H42O11 - C27H42N2O13;C38H36N4O2 - C36H40N2O5 - C31H40N4O7 - C30H44O11 - C25H44N2O13 - C23H48O16;59181;16624;12570;14177;9320;6661
115;545.2714844;14.2;C31H36N4O5 - C30H40O9 - C25H40N2O11 - C20H40N4O13;C29H38N4O5 - C28H42O9 - C23H42N2O11;80401;29327;22088;21201;14781;8681
116;333.2055639;15.71;C21H24N4 - C20H28O4 - C15H28N2O6;C19H26N4 - C18H30O4;87251;13711;17935;14738;9553;4429
117;600.4179179;19.16;;;49574;850774;1045389;627642;429435;304640
118;333.2053884;12.68;C21H24N4 - C20H28O4 - C15H28N2O6;C19H26N4 - C18H30O4;59265;17088;15156;4207;2710;2391
