row ID;row m/z;row retention time;Formula M+H;Formula M+Na;39-1.mzXML Peak area;39-2.mzXML Peak area;39-3.mzXML Peak area;39-4.mzXML Peak area;39-5.mzXML Peak area;39-6.mzXML Peak area
211;553.3131165;17.98;C34H40N4O3 - C33H44O7 - C28H44N2O9 - C23H44N4O11;C32H42N4O3 - C31H46O7 - C26H46N2O9;14049;3491;996;248;214;0
212;773.4595825;25.66;;;16046;1002;960;683;1456;0
213;331.2013397;14.42;C19H26N2O3 - C14H26N4O5;C17H28N2O3;30431;16952;11891;11165;9205;7200
214;439.3560079;24.96;C30H46O2 - C25H46N2O4;C28H48O2;27872;6227;3947;3028;1459;1164
215;479.2637711;12.25;C27H34N4O4 - C26H38O8 - C21H38N2O10;C25H36N4O4 - C24H40O8;23313;11363;7131;2609;2889;3785
216;309.2053935;8.61;C19H24N4 - C18H28O4 - C13H28N2O6;C17H26N4 - C16H30O4;27349;10718;16549;3628;6138;8461
217;537.2684174;10.07;C29H36N4O6 - C28H40O10 - C23H40N2O12;C32H38N2O4 - C27H38N4O6 - C26H42O10;19003;10145;6281;784;1325;1560
218;307.1902364;9.82;C19H22N4 - C18H26O4 - C13H26N2O6;C17H24N4 - C16H28O4;15552;9715;6540;1766;1762;1876
219;701.3528137;21.09;C44H48N2O6 - C39H48N4O8 - C38H52O12 - C33H52N2O14 - C31H56O17 - C26H56N2O19;C44H46N4O3 - C42H50N2O6 - C37H50N4O8 - C36H54O12 - C30H54N4O13 - C31H54N2O14 - C29H58O17;23271;11805;10501;9162;11424;7483
220;495.2353503;20.77;C17H38N2O14;;23448;2763;225;1369;1195;780
221;301.2146632;13.57;C20H28O2 - C15H28N2O4;C18H30O2;28176;8514;6890;2368;1563;2039
222;443.3861084;23.59;C30H50O2 - C25H50N2O4;C28H52O2;27311;9127;5164;4061;3517;1256
223;752.401532;16.63;C42H57NO11 - C37H57N3O13;C40H59NO11;51904;3868;1278;494;455;0
224;633.4336752;22.47;C38H56N4O4 - C32H60N2O10 - C27H60N4O12;C36H58N4O4;26679;10416;9710;10587;14221;10024
225;485.3594895;26.06;;;10305;2220;725;601;1044;431
226;309.2783381;23.79;C20H36O2;C18H38O2;20438;3268;1934;1097;962;491
227;226.1794345;22.43;C13H23NO2;C11H25NO2;34153;26233;43131;26765;25140;26219
228;651.4591675;25.6;C42H58N4O2;C40H60N4O2;32483;10603;16961;17401;20245;14509
229;315.193663;22.58;C15H26N2O5;;16954;2139;1633;960;472;0
230;501.2463303;14.82;C29H32N4O4 - C28H36O8 - C23H36N2O10;C27H34N4O4 - C26H38O8 - C21H38N2O10;21974;7942;4518;3051;737;1408
231;510.3410149;14.51;C35H43NO2 - C28H47NO7 - C23H47N3O9;C32H45N3O - C26H49NO7;28908;17062;17866;11658;6207;2220
232;600.417745;18.89;C43H53NO - C38H53N3O3 - C31H57N3O8;C41H55NO - C36H55N3O3 - C34H59NO6 - C29H59N3O8;33607;431662;604051;392692;294663;121063
233;310.3102239;24.74;C20H39NO;;22827;10267;18582;5979;3650;1404
234;593.2758128;21.36;C35H36N4O5 - C29H40N2O11 - C22H44N2O16;C38H38N2O3 - C33H38N4O5 - C26H42N4O10 - C25H46O14;31635;2482809;1443552;2661035;2308579;1419378
235;609.2705612;20.74;C40H36N2O4 - C35H36N4O6 - C29H40N2O12 - C27H44O15 - C22H44N2O17;C38H38N2O4 - C33H38N4O6 - C26H42N4O11;3349;1416530;3996273;1477595;1223517;676364
236;609.2698568;19.85;C40H36N2O4 - C35H36N4O6 - C29H40N2O12 - C27H44O15 - C22H44N2O17;C38H38N2O4 - C33H38N4O6 - C26H42N4O11 - C25H46O15;724;984326;2236812;753749;647407;400622
237;625.2664917;20.21;C40H36N2O5 - C35H36N4O7 - C34H40O11 - C29H40N2O13 - C27H44O16 - C22H44N2O18;C38H38N2O5 - C33H38N4O7 - C32H42O11 - C26H42N4O12 - C25H46O16;0;403881;1458334;316135;256237;147421
238;593.2754924;21.81;C40H36N2O3 - C35H36N4O5 - C34H40O9 - C27H44O14 - C22H44N2O16;C38H38N2O3 - C33H38N4O5 - C32H42O9 - C26H42N4O10 - C25H46O14;4722;319119;176985;400181;331550;213839
239;653.2973277;23.74;C42H40N2O5 - C37H40N4O7 - C36H44O11 - C30H44N4O12 - C29H48O16 - C24H48N2O18;C40H42N2O5 - C35H42N4O7 - C34H46O11 - C28H46N4O12 - C27H50O16;13146;223978;604888;112959;106243;80120
240;353.2689148;13.25;C22H32N4 - C21H36O4;C20H34N4 - C19H38O4;0;268766;228164;56496;68693;42048
241;600.4183146;18.63;C43H53NO - C38H53N3O3 - C31H57N3O8;C41H55NO - C34H59NO6 - C29H59N3O8;37606;408816;639964;366265;317286;208648
242;353.2680868;12.84;C22H32N4 - C21H36O4 - C16H36N2O6;C20H34N4 - C19H38O4;2733;145942;87474;8939;11238;20694
243;639.281842;21.16;C41H38N2O5 - C36H38N4O7 - C35H42O11 - C29H42N4O12 - C30H42N2O13 - C28H46O16 - C23H46N2O18;C39H40N2O5 - C34H40N4O7 - C33H44O11 - C27H44N4O12 - C26H48O16;0;128888;416019;58849;21712;13727
244;277.2160034;13.47;C18H28O2;C16H30O2;197482;113844;88188;77159;68924;77090
245;445.2579219;20.29;C27H32N4O2 - C26H36O6 - C21H36N2O8;C25H34N4O2 - C24H38O6;632296;217003;97254;47046;37350;17999
246;537.3037476;13.24;C36H40O4 - C30H40N4O5 - C29H44O9 - C24H44N2O11;C33H42N2O3 - C28H42N4O5 - C27H46O9 - C22H46N2O11;0;130814;125017;42465;50614;34387
247;600.4182078;18.2;C38H53N3O3 - C31H57N3O8;C34H59NO6 - C29H59N3O8;22150;129492;221266;113390;79682;124569
248;600.4181773;20.23;C38H53N3O3 - C31H57N3O8;C34H59NO6 - C29H59N3O8;6970;138438;282729;201589;153644;119127
249;463.2687988;16.38;C27H34N4O3 - C26H38O7 - C21H38N2O9;C25H36N4O3 - C24H40O7;514677;144885;95521;77219;54669;34132
250;659.2837321;23.98;C39H38N4O6 - C38H42O10 - C33H42N2O12 - C26H46N2O17 - C21H46N4O19;C42H40N2O4 - C37H40N4O6 - C36H44O10 - C30H44N4O11 - C31H44N2O12 - C29H48O15 - C24H48N2O17;13988;70305;99920;65902;75938;69099
251;584.4219055;21.96;C31H57N3O7;C29H59N3O7;25982;160983;187378;127780;93983;70112
252;583.4143016;18.64;C40H54O3 - C28H58N2O10;C38H56O3 - C32H56N4O4 - C31H60O8;4592;88458;172094;72911;55267;28592
253;653.2969238;22.91;C42H40N2O5 - C37H40N4O7 - C36H44O11 - C30H44N4O12 - C29H48O16 - C24H48N2O18;C40H42N2O5 - C35H42N4O7 - C34H46O11 - C28H46N4O12 - C27H50O16;0;65647;199498;20788;5787;2563
254;373.2220739;2.66;C20H28N4O3 - C19H32O7;C18H30N4O3 - C17H34O7;10895;53339;33986;45150;151012;147690
255;535.4289703;29.07;C40H54 - C28H58N2O7;C38H56 - C31H60O5;93;131380;110668;24385;130309;78286
256;653.2983216;23.29;C42H40N2O5 - C37H40N4O7 - C36H44O11 - C30H44N4O12 - C29H48O16 - C24H48N2O18;C40H42N2O5 - C35H42N4O7 - C34H46O11 - C28H46N4O12 - C27H50O16;0;52610;80407;12383;4282;3409
257;667.312085;25.3;C43H42N2O5 - C38H42N4O7 - C37H46O11 - C31H46N4O12 - C32H46N2O13 - C30H50O16 - C25H50N2O18;C41H44N2O5 - C36H44N4O7 - C35H48O11 - C29H48N4O12 - C28H52O16;0;53238;199453;10453;309;956
258;583.4143372;19.08;C40H54O3 - C28H58N2O10;C32H56N4O4 - C31H60O8;11053;97479;223908;46234;48150;21750
259;600.417689;22.14;C38H53N3O3 - C31H57N3O8;C34H59NO6 - C29H59N3O8;7079;75928;60543;43488;30354;32877
260;532.3480591;13.25;C33H45N3O3 - C27H49NO9 - C22H49N3O11;C31H47N3O3 - C25H51NO9;0;67331;61047;15404;19578;14380
261;503.2615026;16.55;C35H34O3 - C29H34N4O4 - C28H38O8 - C23H38N2O10;C27H36N4O4 - C26H40O8 - C21H40N2O10;260343;107854;73992;62208;48476;36440
262;625.2651734;18.77;C40H36N2O5 - C35H36N4O7 - C34H40O11 - C29H40N2O13 - C27H44O16 - C22H44N2O18;C38H38N2O5 - C33H38N4O7 - C32H42O11 - C26H42N4O12 - C25H46O16;0;55021;115850;8352;703;264
263;584.4219767;23.49;C31H57N3O7;C29H59N3O7;18308;62123;62464;46104;36129;38418
264;689.2794291;19.87;;;0;53067;130368;10504;0;0
265;600.4184723;23.31;C38H53N3O3 - C31H57N3O8;C36H55N3O3 - C34H59NO6 - C29H59N3O8;14516;52099;51079;44305;30603;31270
266;535.4293823;29.33;C40H54 - C35H54N2O2 - C28H58N2O7;C38H56 - C31H60O5;0;35178;22277;48432;31010;5688
267;551.4249268;25.56;C40H54O - C35H54N2O3 - C28H58N2O8;C38H56O - C32H56N4O2 - C31H60O6;27375;73750;85599;59776;37104;35157
268;423.2739004;13.2;C25H34N4O2 - C24H38O6 - C19H38N2O8;C23H36N4O2 - C22H40O6;262;41159;42886;10229;12181;10848
269;643.2885488;24.67;C26H46N2O16 - C21H46N4O18;C24H48N2O16;13495;34879;21739;38030;36292;46995
270;643.289032;24.67;C26H46N2O16 - C21H46N4O18;C30H44N4O10 - C24H48N2O16;12075;32471;25346;37208;38896;49082
271;667.3135865;24.39;C43H42N2O5 - C38H42N4O7 - C37H46O11 - C31H46N4O12 - C32H46N2O13 - C30H50O16 - C25H50N2O18;C41H44N2O5 - C36H44N4O7 - C35H48O11 - C29H48N4O12 - C28H52O16;0;34441;153795;5640;1057;1545
272;425.3768641;23.91;C30H48O - C25H48N2O3;C28H50O;183818;75420;42683;43126;28366;20313
273;497.3100739;12.86;C28H40N4O4 - C27H44O8 - C22H44N2O10;C31H42N2O2 - C26H42N4O4 - C25H46O8;0;31977;19818;441;768;3473
274;439.3559698;19.54;C30H46O2 - C25H46N2O4;C28H48O2;34785;56509;48603;41058;24262;3679
275;811.4964396;23.18;;;3954;44252;13935;10441;12916;11376
276;423.2733358;14.14;C25H34N4O2 - C24H38O6 - C19H38N2O8;C23H36N4O2 - C22H40O6;8531;34004;16876;9463;14753;14297
277;568.4270528;25.2;C38H53N3O - C31H57N3O6;C36H55N3O - C29H59N3O6;25345;44225;42802;27403;21676;20784
278;567.4195353;25.67;C40H54O2 - C35H54N2O4 - C28H58N2O9;C38H56O2 - C32H56N4O3 - C31H60O7;12828;42392;33019;33182;17860;20301
279;771.5039551;17.45;;;0;61692;31777;14755;15559;9642
280;317.2083511;13.41;C20H28O3 - C15H28N2O5;C18H30O3 - C13H30N2O5;28558;23430;17836;24141;21015;12664
281;608.2622009;20.73;C32H37N3O9 - C25H41N3O14;C30H39N3O9 - C23H43N3O14;0;28057;49635;23666;18568;16567
282;582.4064077;23.97;C38H51N3O2 - C31H55N3O7;C36H53N3O2 - C29H57N3O7;29419;46111;25933;29827;22258;18389
283;532.3477905;12.85;C27H49NO9 - C22H49N3O11;C31H47N3O3 - C25H51NO9;0;26742;14903;269;543;2885
284;479.2636083;11.01;C27H34N4O4 - C26H38O8 - C21H38N2O10;C30H36N2O2 - C25H36N4O4 - C24H40O8;16475;17016;12222;2897;3035;1182
285;415.2245051;22.62;C23H30N2O5 - C16H34N2O10;;2649;58527;26343;16142;21444;20073
286;667.3135376;24.84;C43H42N2O5 - C38H42N4O7 - C31H46N4O12 - C32H46N2O13 - C25H50N2O18;C41H44N2O5 - C36H44N4O7 - C29H48N4O12;0;22344;88515;5299;0;0
287;223.9886576;30.15;;;11823;11458;8254;11595;13060;15345
288;303.2314911;8.02;C20H30O2 - C15H30N2O4;C18H32O2;21662;16271;14115;2456;2921;3291
289;599.4087169;18.63;C41H50N4 - C40H54O4 - C35H54N2O6 - C28H58N2O11;C39H52N4 - C38H56O4 - C32H56N4O5 - C33H56N2O6 - C31H60O9;2565;32650;42097;27225;21579;18254
290;723.337085;18.93;C41H46N4O8 - C40H50O12 - C35H50N2O14 - C33H54O17 - C28H54N2O19;C44H48N2O6 - C39H48N4O8 - C38H52O12 - C32H52N4O13 - C33H52N2O14 - C26H56N2O19;0;20919;24333;8299;8871;6906
291;565.4041646;19.18;C40H52O2 - C35H52N2O4 - C28H56N2O9;C38H54O2 - C32H54N4O3 - C31H58O7;1309;45429;72911;28763;19546;9890
292;423.2736232;14.57;C25H34N4O2 - C24H38O6 - C19H38N2O8;C23H36N4O2 - C22H40O6;8148;32059;14441;6482;8259;14912
293;355.2831802;19.04;;;40655;36972;33903;35154;36962;32654
294;535.2691711;22.22;C33H34N4O3 - C32H38O7 - C27H38N2O9 - C20H42N2O14;C31H36N4O3 - C30H40O7 - C24H40N4O8 - C23H44O12;0;19221;46291;23358;16422;13134
295;301.1408488;16.86;C19H16N4 - C18H20O4 - C13H20N2O6;C17H18N4 - C16H22O4 - C11H22N2O6;61884;29713;23273;28564;32076;21242
296;639.2819123;22.91;C41H38N2O5 - C36H38N4O7 - C29H42N4O12 - C30H42N2O13 - C28H46O16 - C23H46N2O18;C39H40N2O5 - C34H40N4O7 - C27H44N4O12 - C26H48O16;0;20438;137014;4592;1457;878
297;653.2966919;22.04;C42H40N2O5 - C37H40N4O7 - C36H44O11 - C30H44N4O12 - C29H48O16 - C24H48N2O18;C40H42N2O5 - C35H42N4O7 - C34H46O11 - C28H46N4O12 - C27H50O16;0;18863;64158;11825;6818;4011
298;427.356692;23.33;C29H46O2 - C24H46N2O4;C27H48O2;17582;17077;7001;4656;5042;3803
299;423.2733826;12.46;C25H34N4O2 - C24H38O6 - C19H38N2O8;C23H36N4O2 - C22H40O6;0;15866;185440;124818;74441;42425
300;613.4825195;24.83;C40H60N4O;;0;4801;159939;223193;137138;98520
301;401.2902425;14.64;C23H36N4O2 - C22H40O6;C21H38N4O2 - C20H42O6;277;3791;74869;56439;36448;16648
302;338.341184;26.23;C22H43NO;;48329;25647;62467;8386;17435;10289
303;667.3125407;19.88;C43H42N2O5 - C38H42N4O7 - C37H46O11 - C31H46N4O12 - C32H46N2O13 - C30H50O16 - C25H50N2O18;C41H44N2O5 - C36H44N4O7 - C35H48O11 - C29H48N4O12 - C28H52O16;0;50040;121612;10565;0;0
304;611.4652354;22.6;C40H58N4O;C38H60N4O;70611;488088;164930;104000;119762;66701
305;584.4217072;23.74;C31H57N3O7;C29H59N3O7;30727;76593;81053;58241;39093;40473
306;607.2915395;23.94;C41H38N2O3 - C36H38N4O5 - C35H42O9 - C29H42N4O10 - C30H42N2O11 - C28H46O14 - C23H46N2O16;C39H40N2O3 - C34H40N4O5 - C33H44O9 - C27H44N4O10 - C26H48O14;1424;31719;38875;25189;8182;11729
307;591.2597534;21.15;C40H34N2O3 - C35H34N4O5 - C22H42N2O16;C26H40N4O10 - C20H44N2O16;0;16298;51200;75468;57977;28605
308;397.3827438;25.08;C29H48 - C24H48N2O2;C27H50;2015;27308;57840;29620;29174;28522
309;600.4183655;22.73;C43H53NO - C38H53N3O3 - C31H57N3O8;C41H55NO - C34H59NO6 - C29H59N3O8;20544;108462;85362;59978;45150;22117
310;625.3185181;12.46;C33H44N4O8 - C27H48N2O14 - C22H48N4O16;C38H42N4O3 - C31H46N4O8 - C25H50N2O14;0;794;39336;24527;16049;13904
311;364.32099;12.23;C23H41NO2;C21H43NO2;0;24;61890;74495;41769;29470
312;639.2824148;21.94;C41H38N2O5 - C36H38N4O7 - C29H42N4O12 - C23H46N2O18;C39H40N2O5 - C34H40N4O7 - C27H44N4O12;0;11219;55142;10900;0;0
313;623.2849477;23.19;C41H38N2O4 - C36H38N4O6 - C30H42N2O12 - C23H46N2O17;C39H40N2O4 - C34H40N4O6 - C27H44N4O11;272;8968;35474;7256;5293;4840
314;565.4036204;18.63;C40H52O2 - C35H52N2O4 - C28H56N2O9;C38H54O2 - C32H54N4O3 - C31H58O7;657;28138;54561;21781;18436;10784
315;681.3272766;20.48;C44H44N2O5 - C39H44N4O7 - C33H48N2O13 - C26H52N2O18;C42H46N2O5 - C37H46N4O7 - C36H50O11 - C30H50N4O12;0;12804;35527;2090;1502;4910
316;885.3909302;16.41;C40H60N4O18 - C41H60N2O19;C45H58N4O13;0;0;34399;137743;75342;27789
317;871.5726135;24.83;;;478;0;40401;60586;7566;4330
318;681.329065;24.99;C44H44N2O5 - C39H44N4O7 - C38H48O11 - C32H48N4O12 - C33H48N2O13 - C31H52O16 - C26H52N2O18;C42H46N2O5 - C37H46N4O7 - C36H50O11 - C30H50N4O12 - C29H54O16;0;5310;25383;819;233;2165
319;332.2937317;20.99;C22H37NO - C17H37N3O3;C20H39NO;18567;12209;29512;8896;5593;2559
320;583.414683;20.18;C40H54O3 - C35H54N2O5 - C33H58O8 - C28H58N2O10;C38H56O3 - C32H56N4O4 - C31H60O8;1004;42811;73179;52332;36518;23365
321;639.2809245;16.93;C41H38N2O5 - C36H38N4O7 - C29H42N4O12 - C30H42N2O13 - C23H46N2O18;C39H40N2O5 - C34H40N4O7 - C27H44N4O12;0;5198;31290;4772;0;0
322;623.2493225;17.87;C40H34N2O5 - C35H34N4O7 - C34H38O11 - C29H38N2O13 - C27H42O16 - C22H42N2O18;C38H36N2O5 - C33H36N4O7 - C32H40O11 - C26H40N4O12 - C25H44O16 - C20H44N2O18;0;7118;30366;17425;10983;6412
323;871.5736816;30.04;;;7231;0;8610;74503;26740;116375
324;409.1832326;1.21;;C14H30N2O10;47;23924;21424;16312;25906;24489
325;399.7543091;30.19;;;0;2460;8926;4615;2642;2867
326;618.4272095;14.65;C43H55NO2 - C38H55N3O4 - C31H59N3O9 - C32H59NO10;C41H57NO2 - C36H57N3O4;0;21272;23191;7404;4257;4409
327;703.2945435;20.48;;;0;9848;30824;1628;1408;4481
328;871.572699;25.14;;;564;0;76015;54158;13040;3481
329;739.3316468;17.89;C35H50N2O15 - C30H50N4O17 - C28H54N2O20;C44H48N2O7 - C39H48N4O9 - C38H52O13 - C32H52N4O14 - C33H52N2O15 - C26H56N2O20;0;4176;21720;12523;9181;5611
330;637.3015381;22.2;C42H40N2O4 - C37H40N4O6 - C36H44O10 - C31H44N2O12 - C29H48O15 - C24H48N2O17;C40H42N2O4 - C35H42N4O6 - C34H46O10 - C28H46N4O11 - C27H50O15;0;15837;24951;45386;37931;15795
331;681.3269898;25.73;C44H44N2O5 - C39H44N4O7 - C38H48O11 - C33H48N2O13 - C31H52O16 - C26H52N2O18;C42H46N2O5 - C37H46N4O7 - C36H50O11 - C30H50N4O12 - C31H50N2O13 - C29H54O16;0;7192;31137;2324;6525;5896
332;631.2526123;20.75;C37H34N4O6 - C36H38O10 - C31H38N2O12 - C24H42N2O17 - C19H42N4O19;C40H36N2O4 - C35H36N4O6 - C34H40O10 - C28H40N4O11 - C29H40N2O12 - C27H44O15 - C22H44N2O17;0;11920;31692;13903;10871;7062
333;567.4194234;21.9;C40H54O2 - C35H54N2O4 - C28H58N2O9;C38H56O2 - C32H56N4O3 - C31H60O7;8837;45269;70660;29903;20560;13117
334;620.3635865;12.42;C43H45N3O - C36H49N3O6 - C37H49NO7 - C30H53NO12 - C25H53N3O14;C41H47N3O - C34H51N3O6 - C28H55NO12;0;338;24822;4070;3180;6221
335;623.2507813;17;C40H34N2O5 - C35H34N4O7 - C34H38O11 - C28H38N4O12 - C29H38N2O13 - C27H42O16 - C22H42N2O18;C38H36N2O5 - C33H36N4O7 - C32H40O11 - C26H40N4O12 - C25H44O16 - C20H44N2O18;0;4986;22740;9411;5973;3032
336;653.2962525;18.31;C42H40N2O5 - C43H40O6 - C37H40N4O7 - C36H44O11 - C31H44N2O13 - C29H48O16 - C24H48N2O18;C40H42N2O5 - C35H42N4O7 - C34H46O11 - C28H46N4O12 - C27H50O16;0;9086;21546;829;384;113
337;583.4145355;18.29;C40H54O3 - C35H54N2O5 - C28H58N2O10;C38H56O3 - C32H56N4O4 - C31H60O8;498;19901;32610;13143;7620;8617
338;408.3071543;22.43;C24H41NO4 - C19H41N3O6;C22H43NO4;16762;14568;25967;12840;14196;9858
339;661.2473348;16.95;C34H36N4O10 - C23H40N4O18;C39H34N4O5 - C32H38N4O10;0;2253;18072;1904;0;0
340;592.2667053;21.38;C37H37NO6 - C32H37N3O8 - C25H41N3O13;C35H39NO6 - C30H39N3O8 - C23H43N3O13;0;38345;19958;55584;43515;36392
341;429.2090187;0.77;C22H28N4O5 - C16H32N2O11;;152;1799;13798;8920;7703;11425
342;211.1689364;4.76;C13H22O2;C11H24O2;27960;12617;11197;20375;11902;15031
343;365.10525;0.76;;;9543;9740;74772;436189;619642;983179
344;600.4179331;19.25;C43H53NO - C38H53N3O3 - C31H57N3O8;C41H55NO - C34H59NO6 - C29H59N3O8;76270;684176;879245;507063;234204;165645
345;353.2687683;11.43;C21H36O4;C19H38O4;0;0;6306;211493;167396;59618
346;449.1079203;2.52;;;23;508;11689;166545;572372;623904
347;568.4278768;25.58;;;166162;338885;275703;308391;38932;49242
348;479.1183716;4.45;C23H18N4O8 - C22H22O12 - C17H22N2O14;C26H20N2O6 - C21H20N4O8 - C20H24O12;0;296;9548;83420;249418;219053
349;699.3569183;11.43;;;0;0;2544;102498;89405;34150
350;613.4805095;22.76;C40H60N4O;;2006;30661;12357;109576;286368;166698
351;584.4216105;19.93;C38H53N3O2 - C31H57N3O7;C36H55N3O2 - C29H59N3O7;8422;70629;104452;108772;77695;56278
352;353.268336;11.19;C22H32N4 - C21H36O4 - C16H36N2O6;C20H34N4 - C19H38O4;27;170;26118;81961;61603;22483
353;535.4294485;29.09;C40H54 - C28H58N2O7;C38H56 - C31H60O5;93;135235;120091;118492;87217;73375
354;635.2867966;22.53;C42H38N2O4 - C37H38N4O6 - C30H42N4O11 - C31H42N2O12 - C24H46N2O17;C40H40N2O4 - C35H40N4O6 - C28H44N4O11 - C22H48N2O17;897;14289;2445;65964;89876;65301
355;465.1028504;1.97;C22H16N4O8;C20H18N4O8;0;23;2132;68027;423605;452720
356;863.4054565;19.14;C45H58N4O13;C43H60N4O13;0;0;12553;63403;37103;14529
357;331.2839775;13.34;;;0;0;7809;63131;52464;19284
358;625.17677;3.8;C34H28N2O10 - C29H28N4O12 - C28H32O16 - C23H32N2O18 - C16H36N2O23;C32H30N2O10 - C27H30N4O12 - C26H34O16 - C20H34N4O17;0;154;2908;49722;426318;470309
359;602.4306895;18.83;C43H55NO - C38H55N3O3;C41H57NO - C36H57N3O3;4435;73580;105570;57191;42733;31560
360;463.1240641;5.21;C23H18N4O7 - C22H22O11;C21H20N4O7 - C20H24O11 - C14H24N4O12;0;0;0;36151;98413;889
361;279.2314301;14.68;C18H30O2 - C13H30N2O4;C16H32O2;96916;21097;45491;42211;53025;21455
362;419.0968628;3.06;C21H14N4O6 - C20H18O10;C19H16N4O6 - C18H20O10;0;0;5368;42765;172015;154239
363;613.4828369;23.19;C40H60N4O;;0;154;567;41105;180547;100843
364;751.5355225;22.81;;;0;0;36991;99594;37170;17370
365;751.5353851;22.81;;;0;0;25302;68077;25587;12408
366;694.4007721;11.44;C39H55N3O8 - C40H55NO9 - C33H59NO14 - C28H59N3O16;C44H53N3O3 - C37H57N3O8;0;0;23;42399;30414;9659
367;699.3564758;11.13;C43H46N4O5 - C36H50N4O10 - C30H54N2O16 - C25H54N4O18;C41H48N4O5 - C39H52N2O8 - C34H52N4O10 - C28H56N2O16;0;0;9052;42243;28349;11341
368;203.0518316;0.76;;;2428;15624;67389;56864;68996;99400
369;677.3720169;13.35;;;0;0;2662;36974;32296;7774
370;458.1865845;0.82;;;0;0;528;42387;48761;136859
371;613.4826843;21.26;C40H60N4O;;0;568;30021;52909;55987;27853
372;449.1078034;2.43;C22H16N4O7 - C21H20O11 - C16H20N2O13;C25H18N2O5 - C20H18N4O7 - C19H22O11 - C12H26O16;23;451;1694;34354;109339;124932
373;487.2665609;20.11;C35H34O2 - C29H34N4O3 - C28H38O7 - C23H38N2O9;C27H36N4O3 - C26H40O7 - C21H40N2O9;37130;22125;17405;20315;13860;10268
374;355.2834663;12.6;C22H34N4 - C21H38O4;C20H36N4 - C19H40O4;0;0;45;23118;16377;216
375;584.4214986;20.47;C43H53N - C38H53N3O2 - C31H57N3O7 - C32H57NO8;C41H55N - C36H55N3O2 - C29H59N3O7;3113;23555;30735;24337;18091;10435
376;397.2371674;12.25;C25H32O4 - C20H32N2O6;C23H34O4;6056;404;136;24778;14383;2354
377;277.0891998;0.8;;;0;48;13092;32759;22402;24633
378;435.0916672;2.31;;;0;0;864;21742;136593;133838
379;471.0884522;0.73;C30H14O6 - C23H18O11 - C18H18N2O13 - C13H18N4O15;C22H16N4O7 - C21H20O11 - C16H20N2O13;22;0;1778;30750;66830;37073
380;723.3367996;16.41;C41H46N4O8 - C40H50O12 - C35H50N2O14 - C33H54O17 - C28H54N2O19;C44H48N2O6 - C39H48N4O8 - C38H52O12 - C32H52N4O13 - C33H52N2O14 - C31H56O17 - C26H56N2O19;0;0;5233;23940;11183;4011
381;665.3326843;25.68;C44H44N2O4 - C39H44N4O6 - C32H48N4O11 - C33H48N2O12 - C31H52O15 - C26H52N2O17;C42H46N2O4 - C37H46N4O6 - C30H50N4O11 - C29H54O15;0;3920;1125;15424;9067;9193
382;313.1788864;11.14;C20H24O3 - C15H24N2O5;C18H26O3;14779;4652;2375;18285;15298;6085
383;287.0546082;2.62;C16H6N4O2 - C15H10O6 - C10H10N2O8;C14H8N4O2 - C13H12O6;0;143;1005;21355;84767;80120
384;293.2103322;14.37;C18H28O3 - C13H28N2O5;C16H30O3;971;789;908;8472;6414;1228
385;641.1718872;3.3;C34H28N2O11 - C29H28N4O13 - C23H32N2O19 - C16H36N2O24;C32H30N2O11 - C27H30N4O13 - C20H34N4O18;0;106;257;25230;174896;287986
386;207.1374334;1.21;C13H18O2 - C8H18N2O4;C11H20O2;2359;73865;67398;52010;119876;121002
387;496.3395894;14.17;C26H45N3O6;;0;0;0;42179;222886;158969
388;611.4671265;19.58;C40H58N4O;C38H60N4O;0;2152;145567;308370;152918;36264
389;611.1605835;1.59;C33H26N2O10 - C28H26N4O12 - C27H30O16 - C22H30N2O18 - C15H34N2O23;C31H28N2O10 - C26H28N4O12 - C25H32O16 - C19H32N4O17;0;0;82;7878;81109;134257
390;540.3166504;19.75;C28H45NO9 - C23H45N3O11;C32H43N3O3 - C26H47NO9;1033509;141711;115157;86219;68168;116257
391;454.2927284;13.75;C28H39NO4 - C23H39N3O6;C21H41N3O6;0;77;0;8461;61597;18680
392;301.0702769;3.9;C17H8N4O2 - C16H12O6 - C11H12N2O8;C15H10N4O2 - C14H14O6;0;0;0;12703;56178;15629
393;773.5193176;19.55;;;0;368;94285;200281;94335;41609
394;611.1610921;4.04;C15H34N2O23;C19H32N4O17;0;0;0;5567;32547;41175
395;449.1074646;0.79;C22H16N4O7 - C21H20O11 - C16H20N2O13;C20H18N4O7 - C19H22O11;0;62;806;29394;46381;60837
396;518.3234863;12.03;C28H43N3O6 - C21H47N3O11;C26H45N3O6;0;0;0;11251;56416;19361
397;303.0500412;1.98;C16H6N4O3 - C15H10O7;C13H12O7;0;0;83;10398;57096;61924
398;409.1838137;0.76;;;2416;42762;45036;22095;42049;46200
399;773.5192464;22.64;;;19001;429668;141134;79207;95129;33269
400;647.1566239;3.85;C37H26O11 - C31H26N4O12 - C32H26N2O13 - C30H30O16 - C25H30N2O18 - C20H30N4O20 - C18H34N2O23 - C19H34O24;C35H28O11 - C29H28N4O12 - C28H32O16 - C23H32N2O18 - C16H36N2O23;0;0;22;14940;52113;31110
