row ID;row m/z;row retention time;row identity (all IDs);LN-380.mzXML Peak area;
45;341.2098083496094;8.327283333333334;C22H28O3 - C17H28N2O5;983880.1766078474;
46;439.35833740234375;12.280366666666668;C30H46O2;774109.5727397517;
47;295.2276611328125;10.546899999999999;C18H30O3;607411.7765832467;
48;287.09185791015625;10.673733333333333;C16H14O5;607885.9436888935;
49;344.3166198730469;8.750066666666667;C20H41NO3;610013.8314555701;
50;711.2805786132812;12.047833333333333;C47H38N2O5 - C41H42O11 - C36H42N2O13 - C34H46O16 - C29H46N2O18;621367.5935565219;
51;372.1814880371094;7.670266666666667;C21H25NO5;548322.9622374873;
52;442.4268493652344;11.0754;C27H55NO3;571562.6042612962;
53;549.3190307617188;13.147083333333335;C29H44N2O8 - C22H48N2O13;559937.5983079228;
54;297.24072265625;11.011983333333335;C18H32O3;711963.8041884769;
55;1475.5303955078125;11.0754;;415366.5315541281;
56;814.58056640625;0.5640000000000001;;392571.72722418193;
57;277.2176513671875;9.363116666666667;;667665.2478923321;
58;328.2845458984375;8.031333333333333;C19H37NO3;415181.828938876;
59;330.17108154296875;6.5921666666666665;C19H23NO4;396437.89259278605;
60;581.2169189453125;9.87045;C41H28N2O2 - C30H32N2O10 - C23H36N2O15;646735.1060849589;
61;386.1977233886719;8.348433333333334;C22H27NO5;451014.81657503685;
62;300.2908630371094;11.794166666666666;;401895.69136189535;
63;429.3759765625;16.38315;C29H48O2;416372.53356043;
64;312.2906494140625;11.519333333333332;;464610.6229200404;
65;472.38153076171875;12.576316666666665;C30H49NO3;336024.1064511681;
66;390.2979431152344;13.147083333333335;C24H39NO3;372651.0394467003;
67;366.16845703125;6.782416666666666;C22H23NO4;548233.9539169931;
68;637.328857421875;11.921;C39H44N2O6 - C32H48N2O11 - C26H52O17;420726.46020364726;
69;749.2589721679688;11.0754;C49H36N2O6 - C43H40O12 - C38H40N2O14 - C36H44O17 - C31H44N2O19 - C25H48O25;554822.9266777355;
70;299.05194091796875;6.993816666666667;;565844.9101851805;
71;1259.7056884765625;10.631466666666666;;363202.0907230805;
72;313.14483642578125;8.158166666666666;;355923.347532288;
73;521.3612670898438;13.50645;;344398.95475732017;
74;685.4364624023438;17.545833333333334;C39H60N2O8;515843.75339293835;
75;317.20953369140625;10.546899999999999;C20H28O3 - C15H28N2O5;330833.01470715046;
76;717.2491455078125;8.432983333333333;;269929.6776331828;
77;831.3031005859375;11.688466666666667;C48H46O13 - C43H46N2O15 - C41H50O18 - C36H50N2O20 - C29H54N2O25 - C30H54O26;364556.52468298713;
