MZ	ID	RT	Area
487.38	286	23.1	64553
550.235	287	12.83	56714
826.388	288	17.41	55453
423.362	289	18.29	77956
348.133	290	7.1	63571
533.384	291	25.32	51832
439.357	292	23.14	111845
441.372	293	16.24	87010
598.268	294	11.34	91154
369.059	295	7.07	127166
471.383	296	21.14	85139
676.275	297	12.96	49554
700.383	298	22.73	72396
339.325	299	22.46	72924
347.113	300	9.74	42914
647.189	301	9.21	46356
427.356	302	22.14	81485
223.097	303	9.82	52014
440.359	304	19.46	106302
568.481	305	23.42	59448
381.336	306	23.71	89255
581.351	307	19.6	52287
488.374	308	17.5	53061
683.308	309	14.24	55287
730.546	310	23.42	74414
439.357	311	22.78	116285
295.227	312	10.19	54734
344.183	313	8.29	55695
427.356	314	24.03	76736
310.311	315	23.84	61857
336.326	316	18.71	71084
475.377	317	11.85	274603
461.362	318	21.69	70979
580.254	319	12.17	44268
273.185	320	12.17	56634
244.227	321	12	38798
413.364	322	20.97	63516
333.206	323	8.05	57232
700.557	324	22.78	41346
660.282	325	14.15	62260
473.363	326	10.55	583814
357.301	327	21.2	55575
441.372	328	17.6	171969
455.352	329	12.06	241013
469.402	330	23.9	52266
524.451	331	23.63	44947
297.184	332	13.19	58313
415.212	333	11.44	42123
443.352	334	19.95	79337
554.174	335	23.03	40835
211.169	336	4.84	34116
299.127	337	6.58	40198
415.32	338	21.22	49222
299.127	339	10.66	44466
529.408	340	23.61	46693
485.382	341	23.82	46714
439.357	342	18.29	201053
567.328	343	18.56	48147
301.216	344	10.72	48085
718.289	345	12.72	94622
429.336	346	22.16	54315
338.342	347	26.34	43164
399.218	348	17.99	39648
385.054	349	5.76	74216
425.378	350	21.78	39683
730.546	351	22.29	58805
283.262	352	23.16	44684
612.284	353	12.64	58038
403.067	354	5.78	55590
239.236	355	22.78	42370
351.253	356	13.24	106227
457.366	357	17.52	97271
521.36	358	22.8	36589
393.298	359	25.55	31884
461.362	360	20.92	59938
580.211	361	14.73	47185
211.132	362	1.39	71803
285.111	363	9.68	31071
437.341	364	21.95	70532
593.277	365	21.88	34363
229.143	366	1.38	62747
371.1	367	23.03	36191
277.215	368	10.19	32112
371.279	369	14.92	74777
436.399	370	23.97	43056
656.529	371	23.01	43381
425.378	372	19.9	70442
588.412	373	22.31	53794
459.348	374	23.14	34891
229.143	375	3.12	130894
598.268	376	10.89	34826
523.378	377	24.46	42093
281.246	378	12.98	36242
453.335	379	17.86	114060
351.232	380	10.23	39200
293.21	381	10.02	61252
317.21	382	5.57	34833
331.19	383	5.89	61280
423.362	384	17.6	55474
441.372	385	18.84	41661
471.348	386	10.36	191228
443.352	387	12.96	70512
369.263	388	13.36	80223
463.282	389	22.76	40135
453.335	390	11.79	65805
331.284	391	20.16	30711
612.504	392	23.2	32826
409.31	393	22.52	33143
441.372	394	12.02	36657
489.358	395	11.27	61135
718.548	396	24.03	34177
309.207	397	9.12	31315
357.336	398	23.1	32554
537.214	399	11.94	33133
409.255	400	12.47	31962
516.405	401	22.82	31312
609.184	402	2.59	27816
535.269	403	22.29	29717
440.359	404	19.84	56854
295.227	405	6.82	30290
453.371	406	20.31	32506
471.383	407	20.29	38993
367.358	408	25.44	51414
589.41	409	24.2	30525
740.531	410	22.16	36616
423.362	411	23.71	28009
411.363	412	21.22	38613
489.358	413	12.51	62756
328.321	414	21.63	29916
473.363	415	17.31	84835
207.138	416	1.89	29998
490.272	417	11.34	26581
591.462	418	21.88	86808
443.352	419	20.9	37213
387.106	420	4.86	39007
415.32	421	20.92	27726
423.362	422	17.9	85769
487.343	423	9.89	136216
487.343	424	10.34	75175
471.348	425	9.48	36322
431.244	426	20.03	34170
423.362	427	21.18	48045
425.378	428	18.6	60832
469.369	429	22.33	27355
788.611	430	22.35	26460
441.372	431	22.27	53202
502.426	432	18.86	26099
595.234	433	17.97	27666
443.352	434	17.52	33533
330.169	435	5.8	49032
297.243	436	8.46	27848
469.369	437	20.69	25526
489.358	438	9.38	54722
728.533	439	22.71	39601
714.552	440	22.14	31793
251.185	441	1.97	30708
439.357	442	17.88	93608
455.352	443	10.31	25838
471.348	444	10.02	30399
471.348	445	9.87	83834
439.357	446	22.54	56982
489.358	447	10.61	37636
620.402	448	22.67	22978
487.343	449	10.74	27390
